date,demand
2018-01-31,122
2018-02-28,145
2018-03-31,160
2018-04-30,157
2018-05-31,135
2018-06-30,131
2018-07-31,146
2018-08-31,148
2018-09-30,137
2018-10-31,130
2018-11-30,117
2018-12-31,128
2019-01-31,157
2019-02-28,172
2019-03-31,184
2019-04-30,182
2019-05-31,167
2019-06-30,170
2019-07-31,169
2019-08-31,173
2019-09-30,183
2019-10-31,162
2019-11-30,156
2019-12-31,159
2020-01-31,189
2020-02-29,219
2020-03-31,223
2020-04-30,223
2020-05-31,205
2020-06-30,203
2020-07-31,207
2020-08-31,225
2020-09-30,212
2020-10-31,194
2020-11-30,196
2020-12-31,196
2021-01-31,229
2021-02-28,244
2021-03-31,258
2021-04-30,258
2021-05-31,248
2021-06-30,241
2021-07-31,245
2021-08-31,250
2021-09-30,240
2021-10-31,231
2021-11-30,225
2021-12-31,243
2022-01-31,266
2022-02-28,281
2022-03-31,302
2022-04-30,291
2022-05-31,277
2022-06-30,279
2022-07-31,287
2022-08-31,293
2022-09-30,279
2022-10-31,269
2022-11-30,265
2022-12-31,279
2023-01-31,298
2023-02-28,325
2023-03-31,331
2023-04-30,323
2023-05-31,320
2023-06-30,319
2023-07-31,318
2023-08-31,329
2023-09-30,321
2023-10-31,304
2023-11-30,301
2023-12-31,318
2024-01-31,336
2024-02-29,370
2024-03-31,359
2024-04-30,369
2024-05-31,353
2024-06-30,347
2024-07-31,354
2024-08-31,350
2024-09-30,355
2024-10-31,345
2024-11-30,343
2024-12-31,343
